Epoch,AnimalCount,GrassCount,AnimalAvgEnergy,AnimalAvgLifespan,AnimalAvgChildren
0,51,45,49.98039215686274,0,0.0392156862745098
1,52,46,48.98076923076923,0,0.07692307692307693
2,52,46,49.90384615384615,0,0.07692307692307693
3,52,47,49.86538461538461,0,0.07692307692307693
4,52,46,51.75,0,0.07692307692307693
5,53,47,50.716981132075475,0,0.11320754716981132
6,53,47,51.60377358490566,0,0.11320754716981132
7,54,48,50.574074074074076,0,0.14814814814814814
8,54,48,51.425925925925924,0,0.14814814814814814
9,54,49,51.351851851851855,0,0.14814814814814814
10,55,51,49.41818181818182,0,0.18181818181818182
11,57,52,47.56140350877193,0,0.24561403508771928
12,59,53,45.79661016949152,0,0.3050847457627119
13,59,54,45.644067796610166,0,0.3050847457627119
14,61,56,43.14754098360656,0,0.36065573770491804
15,61,55,43.78688524590164,0,0.36065573770491804
16,61,54,45.24590163934426,0,0.36065573770491804
17,61,54,45.0655737704918,0,0.36065573770491804
18,61,54,44.885245901639344,0,0.36065573770491804
19,61,56,43.885245901639344,0,0.36065573770491804
20,63,55,43.07936507936508,0,0.4126984126984127
21,63,55,42.87301587301587,0,0.4126984126984127
22,63,56,42.666666666666664,0,0.4126984126984127
23,62,56,43.145161290322584,24.0,0.41935483870967744
24,62,56,42.95161290322581,24.0,0.41935483870967744
25,62,56,42.75806451612903,24.0,0.41935483870967744
26,60,57,43.983333333333334,18.666666666666668,0.43333333333333335
27,59,58,44.559322033898304,18.0,0.4406779661016949
28,59,59,44.40677966101695,18.0,0.4406779661016949
29,57,58,47.56140350877193,20.333333333333332,0.42105263157894735
30,57,58,48.31578947368421,20.333333333333332,0.42105263157894735
31,56,58,49.94642857142857,20.0,0.42857142857142855
32,53,59,51.716981132075475,22.7,0.39622641509433965
33,53,60,51.64150943396226,23.727272727272727,0.39622641509433965
34,53,60,52.528301886792455,23.727272727272727,0.39622641509433965
35,54,61,51.48148148148148,23.727272727272727,0.42592592592592593
36,54,62,51.407407407407405,23.727272727272727,0.42592592592592593
37,54,62,52.25925925925926,23.727272727272727,0.42592592592592593
38,57.026315789473685,54.05263157894737,47.57556681508449,8.649202551834131,0.30966543163060084,
